year;code;name;amount;policy
2020;141M;Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación;64.411,38;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2020;142A;Acción del Estado en el exterior;790.916,79;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2020;142B;Acción Diplomática ante la Unión Europea;21.244,02;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2020;143A;Cooperación para el desarrollo;552.183,50;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2020;144A;Cooperación, promoción y difusión cultural en el exterior;128.316,73;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2020;467G;Investigación y desarrollo de la Sociedad de la Información;1.886,66;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;000X;Transferencias internas (Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN);287.507,98;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2020;111N;Dirección y Servicios Generales de Justicia;50.237,04;11. JUSTICIA
2020;111Q;Formación del Personal de la Administración de Justicia;7.601,37;11. JUSTICIA
2020;111R;Formación de la Carrera Fiscal;2.447,40;11. JUSTICIA
2020;112A;Tribunales de Justicia y Ministerio Fiscal;1.628.201,68;11. JUSTICIA
2020;113M;Registros vinculados con la Fe Pública;33.115,74;11. JUSTICIA
2020;135M;Protección de datos de carácter personal;13.960,74;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2020;222M;Prestaciones económicas del Mutualismo Administrativo;20.163,81;22. OTRAS PRESTACIONES ECONÓMICAS
2020;312E;Asistencia sanitaria del Mutualismo Administrativo;84.379,36;31. SANIDAD
2020;921S;Asesoramiento y defensa de los intereses del Estado;34.247,82;92. SERVICIOS DE CARÁCTER GENERAL
2020;000X;Transferencias internas (Sección: 13 MINISTERIO DE JUSTICIA);7.381,25;92. SERVICIOS DE CARÁCTER GENERAL
2020;121M;Administración y Servicios Generales de Defensa;1.187.440,83;12. DEFENSA
2020;121N;Formación del Personal de las Fuerzas Armadas;413.085,14;12. DEFENSA
2020;121O;Personal en reserva;526.213,65;12. DEFENSA
2020;122A;Modernización de las Fuerzas Armadas;159.723,17;12. DEFENSA
2020;122B;Programas especiales de modernización;2.164.477,00;12. DEFENSA
2020;122M;Gastos Operativos de las Fuerzas Armadas;2.629.413,08;12. DEFENSA
2020;122N;Apoyo Logístico;1.320.208,67;12. DEFENSA
