942A;Cooperación económica local del Estado;58.439,33;94. TRANSFERENCIAS A OTRAS ADMINISTRACIONES PÚBLICAS
144A;Cooperación, promoción y difusión cultural en el exterior;10.290,77;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
321M;Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;1.744,00;32. EDUCACIÓN
322L;Inversiones en centros educativos y otras actividades educativas;15.684,62;32. EDUCACIÓN
331M;Dirección y Servicios Generales de Cultura;56.186,31;33. CULTURA
332A;Archivos;47.711,03;33. CULTURA
332B;Bibliotecas;65.117,55;33. CULTURA
333A;Museos;233.529,79;33. CULTURA
333B;Exposiciones;1.594,29;33. CULTURA
334A;Promoción y cooperación cultural;289.004,24;33. CULTURA
334B;Promoción del libro y publicaciones culturales;13.892,06;33. CULTURA
334C;Fomento de las industrias culturales;17.172,29;33. CULTURA
335A;Música y danza;122.626,25;33. CULTURA
335B;Teatro;60.216,85;33. CULTURA
335C;Cinematografía;167.143,50;33. CULTURA
337B;Conservación y restauración de bienes culturales;38.806,93;33. CULTURA
337C;Protección del Patrimonio Histórico;13.796,61;33. CULTURA
000X;Transferencias y libramientos internos (Sección: 24 MINISTERIO DE CULTURA);499.735,01;92. SERVICIOS DE CARÁCTER GENERAL
231F;Otros servicios sociales del Estado;461.031,57;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
231G;Atención a la infancia y a las familias;3.112,98;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
232F;Derechos de los animales;7.481,71;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
239N;Dirección y Servicios Generales de Derechos Sociales y Agenda 2030;29.615,04;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
313C;Seguridad alimentaria y nutrición;19.544,39;31. SANIDAD
492O;Protección y promoción de los derechos de los consumidores y usuarios;17.559,78;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
